experiment_id,code,embedding,experiment_kind,cycles,shots,p_cnot,p_idle,p_prep,p_meas,kernel,kernel_params,J0,tau,use_weak_limit,primary_decoder,secondary_decoder,notes,geometry_scope,timestamp,embedding_params,embedding_hash,decoded_sector,d,n_data,n_total,k,build_seconds,num_detectors,num_observables,num_dem_errors,circuit_depth,reference_weighted_exposure,reference_aggregate_pair_probability_max,reference_aggregate_amplitude_max,reference_aggregate_location_strength_max,full_cycle_aggregate_pair_probability_max,full_cycle_aggregate_amplitude_max,full_cycle_aggregate_location_strength_max,num_pair_channels,num_workers,primary_failures,primary_shots,primary_discards,primary_ler_total,primary_ler_total_lo,primary_ler_total_hi,primary_ler_per_cycle_derived,primary_decoder_seconds,primary_cpu_seconds
cd_mono_J0.000,BB72,monomial_column,z_memory,6,10000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.0,1.0,False,bposd,,,theory_reduced,2026-03-29T23:40:33.243214+00:00,"{'code': 'BB72', 'embedding_type': 'monomial_column', 'scale_y': 1.0, 'x_positions': {'X': 0.0, 'L': 1.0, 'R': 2.0, 'Z': 3.0}}",300660dbb5dad1fb,X,6,72,144,12,0.20560956001281738,252,12,2232,49,0.0,0.0,0.0,0.0,,,,0,10,1,10000,0,0.0001,1.7274604228274187e-05,0.0003299190354384048,1.6667361153577254e-05,4.128808498382568,17.301683601959667
cd_mono_J0.010,BB72,monomial_column,z_memory,6,10000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.01,1.0,False,bposd,,,theory_reduced,2026-03-29T23:40:38.551962+00:00,"{'code': 'BB72', 'embedding_type': 'monomial_column', 'scale_y': 1.0, 'x_positions': {'X': 0.0, 'L': 1.0, 'R': 2.0, 'Z': 3.0}}",300660dbb5dad1fb,X,6,72,144,12,0.6208868026733398,252,12,13356,49,0.0015387703688930258,0.0032638873639050914,0.3360295933756847,0.3360295933756847,0.0032638873639050914,0.3360295933756847,0.3360295933756847,11340,10,83,10000,0,0.0083,0.007393775115752424,0.009309992717718775,0.0013881417703388577,132.56459832191467,1238.2036085429208
cd_la_J0.000,BB72,logical_aware_fixed:configs/logical_aware_bb72_truefamily.json,z_memory,6,10000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.0,1.0,False,bposd,,,theory_reduced,2026-03-29T23:42:51.310308+00:00,,,X,6,72,144,12,0.09998893737792969,252,12,2232,49,0.0,0.0,0.0,0.0,,,,0,10,1,10000,0,0.0001,1.7274604228274187e-05,0.0003299190354384048,1.6667361153577254e-05,2.6833043098449707,10.976528663020872
cd_la_J0.010,BB72,logical_aware_fixed:configs/logical_aware_bb72_truefamily.json,z_memory,6,10000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.01,1.0,False,bposd,,,theory_reduced,2026-03-29T23:42:54.480213+00:00,,,X,6,72,144,12,0.29840874671936035,252,12,13356,49,0.0014002007086297843,0.0034998833348888663,0.3499999999999994,0.3499999999999994,0.0034998833348888663,0.3499999999999994,0.3499999999999994,11340,10,46,10000,0,0.0046,0.003925360023308181,0.005381055562860221,0.0007681402553898486,65.61633563041687,619.3840638980037
cd_bi_J0.000,BB72,ibm_biplanar,z_memory,6,10000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.0,1.0,False,bposd,,,theory_reduced,2026-03-29T23:44:00.981557+00:00,"{'code': 'BB72', 'embedding_type': 'ibm_biplanar', 'h': 1.0, 'lane_eps': 2.777777777777778e-05, 'layer_A': ['A2', 'A3', 'B3'], 'layer_B': ['A1', 'B1', 'B2']}",04c3a71d573d69d9,X,6,72,144,12,0.09657454490661621,252,12,2232,49,0.0,0.0,0.0,0.0,,,,0,10,0,10000,0,0.0,0.0,0.00018408852972211844,0.0,2.534053087234497,10.189165491974563
cd_bi_J0.010,BB72,ibm_biplanar,z_memory,6,10000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.01,1.0,False,bposd,,,theory_reduced,2026-03-29T23:44:07.492912+00:00,"{'code': 'BB72', 'embedding_type': 'ibm_biplanar', 'h': 1.0, 'lane_eps': 2.777777777777778e-05, 'layer_A': ['A2', 'A3', 'B3'], 'layer_B': ['A1', 'B1', 'B2']}",04c3a71d573d69d9,X,6,72,144,12,1.704411506652832,252,12,13356,49,0.0009362483786107958,0.0005079922133908023,0.060828612199132305,0.060828612199132305,0.0005092946565060257,0.060828612199132305,0.060828612199132305,11340,10,26,10000,0,0.0026,0.0020938148935303515,0.0032154533356660714,0.0004338035250492922,33.81871294975281,288.34164762392174
