experiment_id,code,embedding,experiment_kind,cycles,shots,p_cnot,p_idle,p_prep,p_meas,kernel,kernel_params,J0,tau,use_weak_limit,primary_decoder,secondary_decoder,notes,geometry_scope,timestamp,embedding_params,embedding_hash,decoded_sector,d,n_data,n_total,k,build_seconds,num_detectors,num_observables,num_dem_errors,circuit_depth,reference_weighted_exposure,reference_aggregate_pair_probability_max,reference_aggregate_amplitude_max,reference_aggregate_location_strength_max,full_cycle_aggregate_pair_probability_max,full_cycle_aggregate_amplitude_max,full_cycle_aggregate_location_strength_max,num_pair_channels,num_workers,primary_failures,primary_shots,primary_discards,primary_ler_total,primary_ler_total_lo,primary_ler_total_hi,primary_ler_per_cycle_derived,primary_decoder_seconds,primary_cpu_seconds
many_layout_random_17,BB72,logical_aware_fixed:configs/random_layouts/random_17.json,z_memory,6,10000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,1.0,False,bposd,,Many-layout experiment: random_17,theory_reduced,2026-03-27T19:02:24.268685+00:00,,,X,6,72,144,12,0.4882180690765381,252,12,13356,49,0.040015666281703395,0.049626137303457496,1.2521064814814797,1.2521064814814797,0.054395992647137556,1.364999999999997,1.364999999999997,11340,12,4759,10000,0,0.4759,0.47085839143290864,0.4809464766689949,0.10208403526218568,914.0682632923126,10899.726191397756
many_layout_logical_aware,BB72,logical_aware_fixed:configs/random_layouts/logical_aware.json,z_memory,6,10000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,1.0,False,bposd,,Many-layout experiment: logical_aware,theory_reduced,2026-03-27T17:27:05.462233+00:00,,,X,6,72,144,12,0.48085737228393555,252,12,13356,49,0.02239201387475215,0.05597013970416055,1.3999999999999977,1.3999999999999977,0.05597013970416055,1.3999999999999977,1.3999999999999977,11340,12,2119,10000,0,0.2119,0.20779267093487933,0.2160656523637173,0.03891111517017787,484.1738176345825,5740.761372355744
many_layout_random_18,BB72,logical_aware_fixed:configs/random_layouts/random_18.json,z_memory,6,10000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,1.0,False,bposd,,Many-layout experiment: random_18,theory_reduced,2026-03-27T19:07:36.621316+00:00,,,X,6,72,144,12,0.4822194576263428,252,12,13356,49,0.04013798235202196,0.051224893527198674,1.2914814814814797,1.2914814814814797,0.052799040584221614,1.3264814814814796,1.3264814814814796,11340,12,5390,10000,0,0.539,0.533961439219378,0.5440306827916164,0.12107836641829639,982.4866859912872,11676.791879147291
many_layout_random_19,BB72,logical_aware_fixed:configs/random_layouts/random_19.json,z_memory,6,10000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,1.0,False,bposd,,Many-layout experiment: random_19,theory_reduced,2026-03-27T19:11:54.109432+00:00,,,X,6,72,144,12,0.6875970363616943,252,12,13356,49,0.03851173548032322,0.054395992647137494,1.3649999999999962,1.3649999999999962,0.055970139704160746,1.4000000000000001,1.4000000000000001,11340,12,5346,10000,0,0.5346,0.5295586367115368,0.5396343741434511,0.11968575443325558,972.0585217475891,11539.891074102372
many_layout_random_00,BB72,logical_aware_fixed:configs/random_layouts/random_00.json,z_memory,6,10000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,1.0,False,bposd,,Many-layout experiment: random_00,theory_reduced,2026-03-27T17:26:59.410006+00:00,,,X,6,72,144,12,0.4903526306152344,252,12,13356,49,0.033612660308659066,0.05439599264713756,1.3649999999999973,1.3649999999999973,0.05439599264713756,1.3649999999999973,1.3649999999999973,11340,12,4704,10000,0,0.4704,0.46536190447091635,0.47544407464375876,0.1005203765639715,898.0763857364655,10704.481230087578
many_layout_random_01,BB72,logical_aware_fixed:configs/random_layouts/random_01.json,z_memory,6,10000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,1.0,False,bposd,,Many-layout experiment: random_01,theory_reduced,2026-03-27T17:35:16.001614+00:00,,,X,6,72,144,12,0.48017382621765137,252,12,13356,49,0.041617722772983326,0.0512248935271987,1.2914814814814801,1.2914814814814801,0.0512248935271987,1.2914814814814801,1.2914814814814801,11340,12,5561,10000,0,0.5561,0.5510760489529334,0.5611126184924062,0.12659798237934206,1011.0359463691711,12064.70381785743
many_layout_random_02,BB72,logical_aware_fixed:configs/random_layouts/random_02.json,z_memory,6,10000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,1.0,False,bposd,,Many-layout experiment: random_02,theory_reduced,2026-03-27T17:37:24.575978+00:00,,,X,6,72,144,12,0.47898244857788086,252,12,13356,49,0.028948338529325268,0.05439599264713756,1.364999999999997,1.364999999999997,0.05439599264713756,1.364999999999997,1.364999999999997,11340,12,4734,10000,0,0.4734,0.4683599129501806,0.4784454601550993,0.10137159448207067,891.8921315670013,10648.796384774148
many_layout_random_03,BB72,logical_aware_fixed:configs/random_layouts/random_03.json,z_memory,6,10000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,1.0,False,bposd,,Many-layout experiment: random_03,theory_reduced,2026-03-27T17:42:01.844441+00:00,,,X,6,72,144,12,0.4852302074432373,252,12,13356,49,0.03840742135410504,0.05279904058422164,1.3264814814814803,1.3264814814814803,0.05439599264713755,1.364999999999997,1.364999999999997,11340,12,5710,10000,0,0.571,0.5659936368403145,0.575992020158931,0.13155387431491494,1015.3937635421753,12095.85561671108
many_layout_random_04,BB72,logical_aware_fixed:configs/random_layouts/random_04.json,z_memory,6,10000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,1.0,False,bposd,,Many-layout experiment: random_04,theory_reduced,2026-03-27T17:52:12.818817+00:00,,,X,6,72,144,12,0.4830596446990967,252,12,13356,49,0.032063933083243464,0.05597013970416063,1.3999999999999986,1.3999999999999986,0.05597013970416063,1.3999999999999986,1.3999999999999986,11340,12,5962,10000,0,0.5962,0.5912338368779184,0.601146727670858,0.14027203727159399,1067.849303483963,12751.78162831068
many_layout_random_05,BB72,logical_aware_fixed:configs/random_layouts/random_05.json,z_memory,6,10000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,1.0,False,bposd,,Many-layout experiment: random_05,theory_reduced,2026-03-27T17:52:22.141897+00:00,,,X,6,72,144,12,0.4859633445739746,252,12,13356,49,0.04011586058416633,0.05597013970416045,1.3999999999999964,1.3999999999999964,0.05597013970416045,1.3999999999999964,1.3999999999999964,11340,12,4422,10000,0,0.4422,0.4371895020363797,0.4472221739747278,0.09270938550865804,840.3941214084625,10029.564620180055
many_layout_random_06,BB72,logical_aware_fixed:configs/random_layouts/random_06.json,z_memory,6,10000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,1.0,False,bposd,,Many-layout experiment: random_06,theory_reduced,2026-03-27T17:59:02.354423+00:00,,,X,6,72,144,12,0.48270392417907715,252,12,13356,49,0.028901390341086165,0.05282184559011458,1.3299999999999967,1.3299999999999967,0.05282184559011458,1.3299999999999967,1.3299999999999967,11340,12,5200,10000,0,0.52,0.5149521277258204,0.5250438323701098,0.11514208585006558,967.3792695999146,11505.081960119307
many_layout_random_07,BB72,logical_aware_fixed:configs/random_layouts/random_07.json,z_memory,6,10000,0.001,0.001,0.001,0.001,powerlaw,"{'alpha': 3.0, 'r0': 1.0}",0.04,1.0,False,bposd,,Many-layout experiment: random_07,theory_reduced,2026-03-27T18:06:31.647374+00:00,,,X,6,72,144,12,0.7716548442840576,252,12,13356,49,0.03201432141010583,0.05439599264713761,1.3649999999999978,1.3649999999999978,0.05439599264713761,1.3649999999999978,1.3649999999999978,11340,12,5321,10000,0,0.5321,0.5270572181522961,0.5371362977202954,0.11889937859714039,983.3100509643555,11738.911251710728
