embedding,crossings,max_exp,mean_exp,min_exp
monomial,522,0.030306386991792427,0.02121134557256983,0.009598201396389833
logical_aware,542,0.02239302665283987,0.01873021760568281,0.011276866005188492
biplanar,0,0.016963332479199306,0.01197407204559397,0.005738571934718892
