code,embedding,n,k,d,half,dim_ker_BT,dim_TL,quotient_dim,crossings,agg_prob_max,agg_loc_max,family_size,max_exposure,mean_exposure,time_s
BB72,monomial_column,72,12,6,36,12,6,6,522,0.05219701712224276,0.05219701712224276,36,0.030306386991792427,0.02121134557256983,0.07206273078918457
BB72,ibm_biplanar,72,12,6,36,12,6,6,0,0.008123898860449948,0.008123898860449948,36,0.016963332479199306,0.01197407204559397,0.6006884574890137
BB90,monomial_column,90,8,10,45,6,2,4,738,0.06719776794315527,0.06719776794315527,9,0.06758610410771722,0.0590657613051663,0.06940317153930664
BB90,ibm_biplanar,90,8,10,45,6,2,4,0,0.022411062912242,0.022411062912242,9,0.0758004089453026,0.06700020639070506,0.913663387298584
BB108,monomial_column,108,8,12,54,6,2,4,873,0.0820325678890222,0.0820325678890222,9,0.09660163295886363,0.07132784884387572,0.10349488258361816
BB108,ibm_biplanar,108,8,12,54,6,2,4,0,0.012957377158142195,0.012957377158142195,9,0.05434818582792802,0.04129980651529138,1.2797884941101074
BB144,monomial_column,144,12,12,72,12,6,6,1224,0.11141478599843348,0.11141478599843348,36,0.0816542308423809,0.05221471400348404,0.2516322135925293
BB144,ibm_biplanar,144,12,12,72,12,6,6,0,0.017792673317423752,0.017792673317423752,36,0.04544621469298896,0.030668171907525854,2.425194501876831
